AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Clay
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",BeC2,"393275","393275",47.90000000000
TX021,"5",CfB,"393279","393279",38.10000000000
TX021,"5",RoD,"393312","393312",29.40000000000
TX021,"5",DeC,"393308","393308",21.40000000000
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",TfB,"393321","393321",35.10000000000
TX021,"5",Sm,"393319","393319",22.70000000000
TX021,"5",TfB,"393321","393321",35.10000000000
TX021,"5",AtD,"393399","393399",27.60000000000
TX021,"5",AfC2,"393292","393292",28.20000000000
TX021,"5",AfC2,"393292","393292",28.20000000000
TX021,"5",AfE2,"393293","393293",28.20000000000
TX021,"5",TfB,"393321","393321",35.10000000000
TX021,"5",TfB,"393321","393321",35.10000000000
TX021,"5",CsC2,"393283","393283",38.10000000000
TX021,"5",DeC,"393308","393308",21.40000000000
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",JeF,"393302","393302",31.30000000000
TX021,"5",BeB,"393274","393274",47.90000000000
TX021,"5",MaB,"393307","393307",40.20000000000
TX021,"5",AtD,"393399","393399",27.60000000000
TX021,"5",CsD3,"393284","393284",40.20000000000
TX021,"5",CfB,"393279","393279",38.10000000000
TX021,"5",CsC2,"393283","393283",38.10000000000
TX021,"5",CfB,"393279","393279",38.10000000000
TX021,"5",TfB,"393321","393321",35.10000000000
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",CfB,"393279","393279",38.10000000000
TX021,"5",CsC2,"393283","393283",38.10000000000
TX021,"5",CsC2,"393283","393283",38.10000000000
TX021,"5",SeD2,"393316","393316",29.30000000000
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",CsC2,"393283","393283",38.10000000000
TX021,"5",CsD3,"393284","393284",40.20000000000
TX021,"5",AfC,"393291","393291",29.20000000000
TX021,"5",DoB,"393288","393288",20.20000000000
TX021,"5",SkC,"393318","393318",18.50000000000
TX021,"5",WsB,"393330","393330",39.70000000000
TX021,"5",CfB,"393279","393279",38.10000000000
TX021,"5",AfE2,"393293","393293",28.20000000000
TX021,"5",KrA,"393303","393303",46.90000000000
TX021,"5",BaC2,"393273","393273",24.50000000000
TX021,"5",WsB,"393330","393330",39.70000000000
TX021,"5",WsA,"393329","393329",39.70000000000
TX021,"5",Sa,"393314","393314",6.80000000000
TX021,"5",TfB,"393321","393321",35.10000000000
