AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Db3rdbar
TX477,"3","6","373190","373190",1.27000000000
TX477,"3","39","373167","373167",1.52000000000
TX477,"3","60","373191","373191",0.00000000000
TX477,"3","3","373157","373157",1.42000000000
TX477,"3","31","373159","373159",1.40000000000
TX477,"3","59","373189","373189",1.50000000000
TX477,"3","18","373144","373144",1.38000000000
TX477,"3","72","373204","373204",1.54000000000
TX477,"3","19","373145","373145",1.38000000000
TX477,"3","42","373171","373171",1.49000000000
TX477,"3","41","373170","373170",1.52000000000
TX477,"3","40","373169","373169",1.52000000000
TX477,"3","17","373143","373143",1.38000000000
TX477,"3","56","373186","373186",1.40000000000
TX477,"3","45","373174","373174",1.36000000000
TX477,"3",W,"373207","373207",0.00000000000
TX477,"3","25","373152","373152",1.57000000000
TX477,"3","41","373170","373170",1.52000000000
TX477,"3","20","373147","373147",1.38000000000
TX477,"3","7","373201","373201",1.25000000000
TX477,"3","37","373165","373165",1.34000000000
TX477,"3","36","373164","373164",1.28000000000
TX477,"3","51","373181","373181",1.57000000000
TX477,"3","26","373153","373153",1.53000000000
TX477,"3","31","373159","373159",1.40000000000
TX477,"3","25","373152","373152",1.57000000000
TX477,"3",W,"373207","373207",0.00000000000
TX477,"3","44","373173","373173",1.36000000000
TX477,"3","36","373164","373164",1.28000000000
TX477,"3","25","373152","373152",1.57000000000
TX477,"3","19","373145","373145",1.38000000000
TX477,"3","40","373169","373169",1.52000000000
TX477,"3","21","373148","373148",1.50000000000
TX477,"3","20","373147","373147",1.38000000000
TX477,"3","18","373144","373144",1.38000000000
TX477,"3","64","373195","373195",1.50000000000
TX477,"3","69","373200","373200",1.38000000000
TX477,"3","28","373155","373155",1.57000000000
TX477,"3","18","373144","373144",1.38000000000
TX477,"3","31","373159","373159",1.40000000000
TX477,"3","33","373161","373161",1.40000000000
TX477,"3","72","373204","373204",1.54000000000
TX477,"3","46","373175","373175",1.52000000000
TX477,"3","30","373158","373158",1.41000000000
TX477,"3","20","373147","373147",1.38000000000
TX477,"3","43","373172","373172",1.36000000000
TX477,"3","58","373188","373188",1.40000000000
TX477,"3","19","373145","373145",1.38000000000
TX477,"3","57","373187","373187",1.40000000000
TX477,"3","69","373200","373200",1.38000000000
TX477,"3","28","373155","373155",1.57000000000
TX477,"3","64","373195","373195",1.50000000000
TX477,"3","21","373148","373148",1.50000000000
TX477,"3","46","373175","373175",1.52000000000
TX477,"3","60","373191","373191",0.00000000000
TX477,"3","21","373148","373148",1.50000000000
TX477,"3","20","373147","373147",1.38000000000
TX477,"3","25","373152","373152",1.57000000000
TX477,"3","6","373190","373190",1.27000000000
TX477,"3","72","373204","373204",1.54000000000
TX477,"3","53","373183","373183",1.48000000000
TX477,"3","45","373174","373174",1.36000000000
TX477,"3","31","373159","373159",1.40000000000
TX477,"3","31","373159","373159",1.40000000000
TX477,"3","66","373197","373197",1.54000000000
TX477,"3","56","373186","373186",1.40000000000
TX477,"3","42","373171","373171",1.49000000000
