AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Clay
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",SnD,"363472","363472",19.70000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",PaE,"363460","363460",10.50000000000
TX051,"6",PaB,"363459","363459",8.90000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",RaB,"363462","363462",29.50000000000
TX051,"6",JeD,"363448","363448",38.60000000000
TX051,"6",LeB,"363454","363454",43.50000000000
TX051,"6",RoB,"363464","363464",21.40000000000
TX051,"6",ChB,"363437","363437",31.80000000000
TX051,"6",RoB,"363464","363464",21.40000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",ZaB,"363484","363484",33.00000000000
TX051,"6",CaA,"363436","363436",4.60000000000
TX051,"6",SmC,"363470","363470",15.90000000000
TX051,"6",BwC,"363433","363433",37.90000000000
TX051,"6",ArB,"363423","363423",36.20000000000
TX051,"6",SmC,"363470","363470",15.90000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",ZuB,"363486","363486",39.30000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",Ka,"363451","363451",70.00000000000
TX051,"6",KuC,"363452","363452",45.20000000000
TX051,"6",ChB,"363437","363437",31.80000000000
TX051,"6",JeE,"363449","363449",37.40000000000
TX051,"6",NoC,"363458","363458",45.90000000000
TX051,"6",SnD,"363472","363472",19.70000000000
TX051,"6",GrB,"363446","363446",29.80000000000
TX051,"6",RoB,"363464","363464",21.40000000000
TX051,"6",ShA,"363467","363467",64.70000000000
TX051,"6",SmC,"363470","363470",15.90000000000
TX051,"6",Pt,"363461","363461",0.00000000000
TX051,"6",EuB,"363442","363442",6.90000000000
TX051,"6",ChB,"363437","363437",31.80000000000
TX051,"6",EuB,"363442","363442",6.90000000000
TX051,"6",ZaB,"363484","363484",33.00000000000
TX051,"6",CaA,"363436","363436",4.60000000000
TX051,"6",EuB,"363442","363442",6.90000000000
TX051,"6",SnB,"363471","363471",18.50000000000
TX051,"6",Ua,"363477","363477",18.80000000000
TX051,"6",ChB,"363437","363437",31.80000000000
TX051,"6",GrB,"363446","363446",29.80000000000
TX051,"6",RaB,"363462","363462",29.50000000000
TX051,"6",JeD,"363448","363448",38.60000000000
