AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Silt
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",SnD,"363472","363472",13.50000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",PaE,"363460","363460",5.80000000000
TX051,"6",PaB,"363459","363459",4.50000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",RaB,"363462","363462",17.10000000000
TX051,"6",JeD,"363448","363448",28.10000000000
TX051,"6",LeB,"363454","363454",27.10000000000
TX051,"6",RoB,"363464","363464",19.00000000000
TX051,"6",ChB,"363437","363437",20.30000000000
TX051,"6",RoB,"363464","363464",19.00000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",ZaB,"363484","363484",23.00000000000
TX051,"6",CaA,"363436","363436",4.10000000000
TX051,"6",SmC,"363470","363470",12.40000000000
TX051,"6",BwC,"363433","363433",28.50000000000
TX051,"6",ArB,"363423","363423",28.80000000000
TX051,"6",SmC,"363470","363470",12.40000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",ZuB,"363486","363486",29.10000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",Ka,"363451","363451",21.00000000000
TX051,"6",KuC,"363452","363452",27.40000000000
TX051,"6",ChB,"363437","363437",20.30000000000
TX051,"6",JeE,"363449","363449",27.70000000000
TX051,"6",NoC,"363458","363458",28.80000000000
TX051,"6",SnD,"363472","363472",13.50000000000
TX051,"6",GrB,"363446","363446",24.50000000000
TX051,"6",RoB,"363464","363464",19.00000000000
TX051,"6",ShA,"363467","363467",34.30000000000
TX051,"6",SmC,"363470","363470",12.40000000000
TX051,"6",Pt,"363461","363461",0.00000000000
TX051,"6",EuB,"363442","363442",1.70000000000
TX051,"6",ChB,"363437","363437",20.30000000000
TX051,"6",EuB,"363442","363442",1.70000000000
TX051,"6",ZaB,"363484","363484",23.00000000000
TX051,"6",CaA,"363436","363436",4.10000000000
TX051,"6",EuB,"363442","363442",1.70000000000
TX051,"6",SnB,"363471","363471",15.10000000000
TX051,"6",Ua,"363477","363477",28.90000000000
TX051,"6",ChB,"363437","363437",20.30000000000
TX051,"6",GrB,"363446","363446",24.50000000000
TX051,"6",RaB,"363462","363462",17.10000000000
TX051,"6",JeD,"363448","363448",28.10000000000
