AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Db3rdbar
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",TrD3,"370702","370702",1.50000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",NoB,"370684","370684",1.49000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",FrA,"370673","370673",1.38000000000
TX331,"4",PITG,"370688","370688",0.00000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",WiaA,"370706","370706",1.53000000000
TX331,"4",UhA,"370704","370704",1.40000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",WiaA,"370706","370706",1.53000000000
TX331,"4",UhA,"370704","370704",1.40000000000
TX331,"4",SiB,"370695","370695",1.47000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",UhA,"370704","370704",1.40000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",BurA,"370664","370664",1.40000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",EgD3,"370671","370671",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",NoB,"370684","370684",1.49000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",SmC,"370693","370693",1.46000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",HeC,"370677","370677",1.35000000000
TX331,"4",UhA,"370704","370704",1.40000000000
TX331,"4",EgD3,"370671","370671",1.54000000000
TX331,"4",TrB,"370701","370701",1.51000000000
TX331,"4",SmC,"370693","370693",1.46000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",PITG,"370688","370688",0.00000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",EgD3,"370671","370671",1.54000000000
TX331,"4",HeC,"370677","370677",1.35000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",WiaA,"370706","370706",1.53000000000
TX331,"4",EgD3,"370671","370671",1.54000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",FhF2,"370672","370672",1.39000000000
TX331,"4",WndA,"370707","370707",1.54000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",CrC3,"370667","370667",1.54000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",SmC,"370693","370693",1.46000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",WiaA,"370706","370706",1.53000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",JeF,"370679","370679",1.38000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",MnC,"370682","370682",1.47000000000
TX331,"4",GaA,"370674","370674",1.59000000000
TX331,"4",GwA,"370676","370676",1.47000000000
TX331,"4",HeC,"370677","370677",1.35000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",MwC,"3130085","3130085",1.52000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",JeF,"370679","370679",1.38000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",EgC2,"370670","370670",1.54000000000
TX331,"4",RaB,"370689","370689",1.53000000000
TX331,"4",MwC,"3130085","3130085",1.52000000000
TX331,"4",FrA,"370673","370673",1.38000000000
TX331,"4",EgD3,"370671","370671",1.54000000000
TX331,"4",HeC,"370677","370677",1.35000000000
TX331,"4",WiaA,"370706","370706",1.53000000000
TX331,"4",TnA,"370700","370700",1.33000000000
TX331,"4",SilB,"370697","370697",1.54000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",TrD3,"370702","370702",1.50000000000
TX331,"4",GsB,"370675","370675",1.52000000000
TX331,"4",FhF2,"370672","370672",1.39000000000
TX331,"4",FhF2,"370672","370672",1.39000000000
TX331,"4",HeC,"370677","370677",1.35000000000
TX331,"4",BurA,"370664","370664",1.40000000000
TX331,"4",PaC,"370686","370686",1.38000000000
TX331,"4",W,"370709","370709",0.00000000000
TX331,"4",CrB,"370666","370666",1.54000000000
TX331,"4",CrC3,"370667","370667",1.54000000000
