AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Db3rdbar
TX149,"3",SwC,"365760","365760",1.59000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",BkB,"365688","365688",1.27000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",FrD,"365712","365712",1.40000000000
TX149,"3",SwC,"365760","365760",1.59000000000
TX149,"3",RkC,"365745","365745",1.45000000000
TX149,"3",HvB,"365724","365724",1.57000000000
TX149,"3",LaD3,"365732","365732",1.36000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",GrB,"365720","365720",1.45000000000
TX149,"3",ShC2,"365754","365754",1.50000000000
TX149,"3",CbD,"365698","365698",1.40000000000
TX149,"3",StB,"365758","365758",1.45000000000
TX149,"3",CbD,"365698","365698",1.40000000000
TX149,"3",BwC,"365693","365693",1.47000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",BsD,"365691","365691",1.31000000000
TX149,"3",FrB,"365710","365710",1.40000000000
TX149,"3",ChB,"365701","365701",1.46000000000
TX149,"3",Uf,"365766","365766",1.40000000000
TX149,"3",ZkB,"365773","365773",1.44000000000
TX149,"3",Gf,"365717","365717",1.35000000000
TX149,"3",RvA,"365751","365751",1.62000000000
TX149,"3",CbC,"365697","365697",1.39000000000
TX149,"3",BwC,"365693","365693",1.47000000000
TX149,"3",StB,"365758","365758",1.45000000000
TX149,"3",IzA,"365725","365725",1.41000000000
TX149,"3",Uf,"365766","365766",1.40000000000
TX149,"3",ZkB,"365773","365773",1.44000000000
TX149,"3",RkC,"365745","365745",1.45000000000
TX149,"3",BwC,"365693","365693",1.47000000000
TX149,"3",RkC,"365745","365745",1.45000000000
TX149,"3",CbD,"365698","365698",1.40000000000
TX149,"3",RnC,"365746","365746",1.45000000000
TX149,"3",FrB,"365710","365710",1.40000000000
TX149,"3",SwC,"365760","365760",1.59000000000
TX149,"3",Bg,"365687","365687",1.38000000000
TX149,"3",BkB,"365688","365688",1.27000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",BkB,"365688","365688",1.27000000000
TX149,"3",ChB,"365701","365701",1.46000000000
TX149,"3",DnC,"365705","365705",1.56000000000
TX149,"3",FrB,"365710","365710",1.40000000000
TX149,"3",BsD,"365691","365691",1.31000000000
TX149,"3",BwE,"365694","365694",1.38000000000
TX149,"3",SrB,"365757","365757",1.42000000000
TX149,"3",SxC,"365761","365761",1.55000000000
TX149,"3",SxC,"365761","365761",1.55000000000
TX149,"3",RvA,"365751","365751",1.62000000000
TX149,"3",FrD,"365712","365712",1.40000000000
TX149,"3",FrC,"365711","365711",1.40000000000
TX149,"3",HvB,"365724","365724",1.57000000000
TX149,"3",SxC,"365761","365761",1.55000000000
TX149,"3",HvB,"365724","365724",1.57000000000
TX149,"3",Bo,"365689","365689",1.30000000000
TX149,"3",CbD,"365698","365698",1.40000000000
TX149,"3",FrB,"365710","365710",1.40000000000
TX149,"3",FrD,"365712","365712",1.40000000000
TX149,"3",HvB,"365724","365724",1.57000000000
TX149,"3",RhB,"365744","365744",1.49000000000
TX149,"3",FrB,"365710","365710",1.40000000000
TX149,"3",RoB,"365748","365748",1.57000000000
TX149,"3",LaD3,"365732","365732",1.36000000000
TX149,"3",CaB,"365696","365696",1.43000000000
TX149,"3",RkC,"365745","365745",1.45000000000
TX149,"3",CbD,"365698","365698",1.40000000000
