AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Clay
TX149,"3",SwC,"365760","365760",31.80000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",BkB,"365688","365688",53.60000000000
TX149,"3",FrC,"365711","365711",52.90000000000
TX149,"3",FrD,"365712","365712",52.90000000000
TX149,"3",SwC,"365760","365760",31.80000000000
TX149,"3",RkC,"365745","365745",39.60000000000
TX149,"3",HvB,"365724","365724",30.90000000000
TX149,"3",LaD3,"365732","365732",50.00000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",GrB,"365720","365720",28.00000000000
TX149,"3",ShC2,"365754","365754",41.30000000000
TX149,"3",CbD,"365698","365698",23.60000000000
TX149,"3",StB,"365758","365758",32.80000000000
TX149,"3",CbD,"365698","365698",23.60000000000
TX149,"3",BwC,"365693","365693",37.90000000000
TX149,"3",FrC,"365711","365711",52.90000000000
TX149,"3",FrC,"365711","365711",52.90000000000
TX149,"3",BsD,"365691","365691",42.70000000000
TX149,"3",FrB,"365710","365710",53.40000000000
TX149,"3",ChB,"365701","365701",30.20000000000
TX149,"3",Uf,"365766","365766",16.80000000000
TX149,"3",ZkB,"365773","365773",29.90000000000
TX149,"3",Gf,"365717","365717",47.40000000000
TX149,"3",RvA,"365751","365751",20.60000000000
TX149,"3",CbC,"365697","365697",28.00000000000
TX149,"3",BwC,"365693","365693",37.90000000000
TX149,"3",StB,"365758","365758",32.80000000000
TX149,"3",IzA,"365725","365725",34.50000000000
TX149,"3",Uf,"365766","365766",16.80000000000
TX149,"3",ZkB,"365773","365773",29.90000000000
TX149,"3",RkC,"365745","365745",39.60000000000
TX149,"3",BwC,"365693","365693",37.90000000000
TX149,"3",RkC,"365745","365745",39.60000000000
TX149,"3",CbD,"365698","365698",23.60000000000
TX149,"3",RnC,"365746","365746",15.00000000000
TX149,"3",FrB,"365710","365710",53.40000000000
TX149,"3",SwC,"365760","365760",31.80000000000
TX149,"3",Bg,"365687","365687",29.00000000000
TX149,"3",BkB,"365688","365688",53.60000000000
TX149,"3",FrC,"365711","365711",52.90000000000
