AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Clay
TX477,"3","6","373190","373190",53.60000000000
TX477,"3","39","373167","373167",22.10000000000
TX477,"3","60","373191","373191",0.00000000000
TX477,"3","3","373157","373157",39.30000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","59","373189","373189",41.30000000000
TX477,"3","18","373144","373144",28.00000000000
TX477,"3","72","373204","373204",42.40000000000
TX477,"3","19","373145","373145",28.00000000000
TX477,"3","42","373171","373171",19.10000000000
TX477,"3","41","373170","373170",22.00000000000
TX477,"3","40","373169","373169",21.10000000000
TX477,"3","17","373143","373143",34.60000000000
TX477,"3","56","373186","373186",25.00000000000
TX477,"3","45","373174","373174",50.00000000000
TX477,"3",W,"373207","373207",0.00000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3","41","373170","373170",22.00000000000
TX477,"3","20","373147","373147",28.00000000000
TX477,"3","7","373201","373201",52.80000000000
TX477,"3","37","373165","373165",70.00000000000
TX477,"3","36","373164","373164",50.00000000000
TX477,"3","51","373181","373181",14.00000000000
TX477,"3","26","373153","373153",40.10000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3",W,"373207","373207",0.00000000000
TX477,"3","44","373173","373173",50.00000000000
TX477,"3","36","373164","373164",50.00000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3","19","373145","373145",28.00000000000
TX477,"3","40","373169","373169",21.10000000000
TX477,"3","21","373148","373148",29.70000000000
TX477,"3","20","373147","373147",28.00000000000
TX477,"3","18","373144","373144",28.00000000000
TX477,"3","64","373195","373195",39.80000000000
TX477,"3","69","373200","373200",70.00000000000
TX477,"3","28","373155","373155",27.50000000000
TX477,"3","18","373144","373144",28.00000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","33","373161","373161",52.90000000000
TX477,"3","72","373204","373204",42.40000000000
TX477,"3","46","373175","373175",31.60000000000
TX477,"3","30","373158","373158",34.40000000000
TX477,"3","20","373147","373147",28.00000000000
TX477,"3","43","373172","373172",50.00000000000
TX477,"3","58","373188","373188",25.00000000000
TX477,"3","19","373145","373145",28.00000000000
TX477,"3","57","373187","373187",25.00000000000
TX477,"3","69","373200","373200",70.00000000000
TX477,"3","28","373155","373155",27.50000000000
TX477,"3","64","373195","373195",39.80000000000
TX477,"3","21","373148","373148",29.70000000000
TX477,"3","46","373175","373175",31.60000000000
TX477,"3","60","373191","373191",0.00000000000
TX477,"3","21","373148","373148",29.70000000000
TX477,"3","20","373147","373147",28.00000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3","6","373190","373190",53.60000000000
TX477,"3","72","373204","373204",42.40000000000
TX477,"3","53","373183","373183",11.80000000000
TX477,"3","45","373174","373174",50.00000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","66","373197","373197",24.50000000000
TX477,"3","56","373186","373186",25.00000000000
TX477,"3","42","373171","373171",19.10000000000
TX477,"3","43","373172","373172",50.00000000000
TX477,"3","8","373205","373205",32.00000000000
TX477,"3","14","373140","373140",37.90000000000
TX477,"3","41","373170","373170",22.00000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","72","373204","373204",42.40000000000
TX477,"3","19","373145","373145",28.00000000000
TX477,"3","35","373163","373163",50.00000000000
TX477,"3","64","373195","373195",39.80000000000
TX477,"3","8","373205","373205",32.00000000000
TX477,"3","1","373135","373135",34.60000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","3","373157","373157",39.30000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3","6","373190","373190",53.60000000000
TX477,"3","39","373167","373167",22.10000000000
TX477,"3","28","373155","373155",27.50000000000
TX477,"3","61","373192","373192",19.00000000000
TX477,"3","14","373140","373140",37.90000000000
TX477,"3","19","373145","373145",28.00000000000
TX477,"3","9","373206","373206",69.50000000000
TX477,"3","46","373175","373175",31.60000000000
TX477,"3","32","373160","373160",52.90000000000
TX477,"3","61","373192","373192",19.00000000000
TX477,"3","25","373152","373152",36.40000000000
TX477,"3","32","373160","373160",52.90000000000
TX477,"3","4","373168","373168",38.20000000000
TX477,"3","45","373174","373174",50.00000000000
TX477,"3","31","373159","373159",53.40000000000
TX477,"3","7","373201","373201",52.80000000000
