AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,OrgMatter
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",SnD,"363472","363472",0.65000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",PaE,"363460","363460",0.33000000000
TX051,"6",PaB,"363459","363459",0.34000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",RaB,"363462","363462",0.57000000000
TX051,"6",JeD,"363448","363448",0.64000000000
TX051,"6",LeB,"363454","363454",0.40000000000
TX051,"6",RoB,"363464","363464",0.33000000000
TX051,"6",ChB,"363437","363437",0.72000000000
TX051,"6",RoB,"363464","363464",0.33000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",ZaB,"363484","363484",0.40000000000
TX051,"6",CaA,"363436","363436",0.90000000000
TX051,"6",SmC,"363470","363470",0.50000000000
TX051,"6",BwC,"363433","363433",0.71000000000
TX051,"6",ArB,"363423","363423",0.53000000000
TX051,"6",SmC,"363470","363470",0.50000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",ZuB,"363486","363486",0.95000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",Ka,"363451","363451",1.52000000000
TX051,"6",KuC,"363452","363452",0.62000000000
TX051,"6",ChB,"363437","363437",0.72000000000
TX051,"6",JeE,"363449","363449",0.68000000000
TX051,"6",NoC,"363458","363458",0.34000000000
TX051,"6",SnD,"363472","363472",0.65000000000
TX051,"6",GrB,"363446","363446",0.75000000000
TX051,"6",RoB,"363464","363464",0.33000000000
TX051,"6",ShA,"363467","363467",1.18000000000
TX051,"6",SmC,"363470","363470",0.50000000000
TX051,"6",Pt,"363461","363461",0.00000000000
TX051,"6",EuB,"363442","363442",0.52000000000
TX051,"6",ChB,"363437","363437",0.72000000000
TX051,"6",EuB,"363442","363442",0.52000000000
TX051,"6",ZaB,"363484","363484",0.40000000000
TX051,"6",CaA,"363436","363436",0.90000000000
TX051,"6",EuB,"363442","363442",0.52000000000
TX051,"6",SnB,"363471","363471",0.62000000000
TX051,"6",Ua,"363477","363477",0.82000000000
TX051,"6",ChB,"363437","363437",0.72000000000
TX051,"6",GrB,"363446","363446",0.75000000000
TX051,"6",RaB,"363462","363462",0.57000000000
TX051,"6",JeD,"363448","363448",0.64000000000
