AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Silt
TX491,"7",SvB,"373573","373573",52.60000000000
TX491,"7",HeiD3,"373557","373557",27.10000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",DoC,"373543","373543",48.60000000000
TX491,"7",SvB,"373573","373573",52.60000000000
TX491,"7",GsB,"373554","373554",24.60000000000
TX491,"7",HedC2,"373556","373556",27.40000000000
TX491,"7",WlB,"373581","373581",34.20000000000
TX491,"7",TcA,"373574","373574",28.00000000000
TX491,"7",TcA,"373574","373574",28.00000000000
TX491,"7",TcA,"373574","373574",28.00000000000
TX491,"7",TcA,"373574","373574",28.00000000000
TX491,"7",TcA,"373574","373574",28.00000000000
TX491,"7",CfB,"373534","373534",27.90000000000
TX491,"7",EaD,"373544","373544",38.10000000000
TX491,"7",SvB,"373573","373573",52.60000000000
TX491,"7",DnB,"373541","373541",46.50000000000
TX491,"7",DnB,"373541","373541",46.50000000000
TX491,"7",GeB,"373553","373553",24.80000000000
TX491,"7",OaA,"373564","373564",51.60000000000
TX491,"7",OaA,"373564","373564",51.60000000000
TX491,"7",EeB,"373545","373545",38.10000000000
TX491,"7",CfB,"373534","373534",27.90000000000
TX491,"7",AwD3,"373519","373519",48.00000000000
TX491,"7",FaB,"373551","373551",28.20000000000
TX491,"7",CrC3,"373536","373536",26.40000000000
TX491,"7",WlB,"373581","373581",34.20000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",HoB,"373560","373560",26.00000000000
TX491,"7",HeiD3,"373557","373557",27.10000000000
TX491,"7",BktD,"373524","373524",45.10000000000
TX491,"7",EaD,"373544","373544",38.10000000000
TX491,"7",BrA,"373527","373527",33.70000000000
TX491,"7",AwD3,"373519","373519",48.00000000000
TX491,"7",DfA,"373538","373538",36.90000000000
TX491,"7",HesE,"373558","373558",27.90000000000
TX491,"7",AwD3,"373519","373519",48.00000000000
TX491,"7",EeB,"373545","373545",38.10000000000
TX491,"7",HedC2,"373556","373556",27.40000000000
TX491,"7",ErE,"373546","373546",38.10000000000
TX491,"7",DoC,"373543","373543",48.60000000000
TX491,"7",AsB,"373518","373518",48.00000000000
TX491,"7",DnB,"373541","373541",46.50000000000
TX491,"7",BeB,"373522","373522",35.30000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",ErE,"373546","373546",38.10000000000
