AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Db3rdbar
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",SnD,"363472","363472",1.57000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",PaE,"363460","363460",1.39000000000
TX051,"6",PaB,"363459","363459",1.37000000000
TX051,"6",W,"363478","363478",0.00000000000
TX051,"6",RaB,"363462","363462",1.54000000000
TX051,"6",JeD,"363448","363448",1.43000000000
TX051,"6",LeB,"363454","363454",1.35000000000
TX051,"6",RoB,"363464","363464",1.58000000000
TX051,"6",ChB,"363437","363437",1.45000000000
TX051,"6",RoB,"363464","363464",1.58000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",ZaB,"363484","363484",1.42000000000
TX051,"6",CaA,"363436","363436",1.45000000000
TX051,"6",SmC,"363470","363470",1.50000000000
TX051,"6",BwC,"363433","363433",1.47000000000
TX051,"6",ArB,"363423","363423",1.38000000000
TX051,"6",SmC,"363470","363470",1.50000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",ZuB,"363486","363486",1.52000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",Ka,"363451","363451",1.34000000000
TX051,"6",KuC,"363452","363452",1.39000000000
TX051,"6",ChB,"363437","363437",1.45000000000
TX051,"6",JeE,"363449","363449",1.42000000000
TX051,"6",NoC,"363458","363458",1.49000000000
TX051,"6",SnD,"363472","363472",1.57000000000
TX051,"6",GrB,"363446","363446",1.45000000000
TX051,"6",RoB,"363464","363464",1.58000000000
TX051,"6",ShA,"363467","363467",1.37000000000
TX051,"6",SmC,"363470","363470",1.50000000000
TX051,"6",Pt,"363461","363461",0.00000000000
TX051,"6",EuB,"363442","363442",1.59000000000
TX051,"6",ChB,"363437","363437",1.45000000000
TX051,"6",EuB,"363442","363442",1.59000000000
TX051,"6",ZaB,"363484","363484",1.42000000000
TX051,"6",CaA,"363436","363436",1.45000000000
TX051,"6",EuB,"363442","363442",1.59000000000
TX051,"6",SnB,"363471","363471",1.54000000000
TX051,"6",Ua,"363477","363477",1.40000000000
TX051,"6",ChB,"363437","363437",1.45000000000
TX051,"6",GrB,"363446","363446",1.45000000000
TX051,"6",RaB,"363462","363462",1.54000000000
TX051,"6",JeD,"363448","363448",1.43000000000
