AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,OrgMatter
TX149,"3",SwC,"365760","365760",0.39000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",BkB,"365688","365688",1.69000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",FrD,"365712","365712",0.94000000000
TX149,"3",SwC,"365760","365760",0.39000000000
TX149,"3",RkC,"365745","365745",0.46000000000
TX149,"3",HvB,"365724","365724",0.78000000000
TX149,"3",LaD3,"365732","365732",0.65000000000
TX149,"3",W,"365771","365771",0.00000000000
TX149,"3",GrB,"365720","365720",0.75000000000
TX149,"3",ShC2,"365754","365754",0.57000000000
TX149,"3",CbD,"365698","365698",1.13000000000
TX149,"3",StB,"365758","365758",0.48000000000
TX149,"3",CbD,"365698","365698",1.13000000000
TX149,"3",BwC,"365693","365693",0.71000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",BsD,"365691","365691",0.90000000000
TX149,"3",FrB,"365710","365710",1.06000000000
TX149,"3",ChB,"365701","365701",0.63000000000
TX149,"3",Uf,"365766","365766",0.76000000000
TX149,"3",ZkB,"365773","365773",0.38000000000
TX149,"3",Gf,"365717","365717",2.43000000000
TX149,"3",RvA,"365751","365751",0.58000000000
TX149,"3",CbC,"365697","365697",1.41000000000
TX149,"3",BwC,"365693","365693",0.71000000000
TX149,"3",StB,"365758","365758",0.48000000000
TX149,"3",IzA,"365725","365725",0.91000000000
TX149,"3",Uf,"365766","365766",0.76000000000
TX149,"3",ZkB,"365773","365773",0.38000000000
TX149,"3",RkC,"365745","365745",0.46000000000
TX149,"3",BwC,"365693","365693",0.71000000000
TX149,"3",RkC,"365745","365745",0.46000000000
TX149,"3",CbD,"365698","365698",1.13000000000
TX149,"3",RnC,"365746","365746",2.00000000000
TX149,"3",FrB,"365710","365710",1.06000000000
TX149,"3",SwC,"365760","365760",0.39000000000
TX149,"3",Bg,"365687","365687",1.18000000000
TX149,"3",BkB,"365688","365688",1.69000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",BkB,"365688","365688",1.69000000000
TX149,"3",ChB,"365701","365701",0.63000000000
TX149,"3",DnC,"365705","365705",1.07000000000
TX149,"3",FrB,"365710","365710",1.06000000000
TX149,"3",BsD,"365691","365691",0.90000000000
TX149,"3",BwE,"365694","365694",1.05000000000
TX149,"3",SrB,"365757","365757",0.54000000000
TX149,"3",SxC,"365761","365761",0.75000000000
TX149,"3",SxC,"365761","365761",0.75000000000
TX149,"3",RvA,"365751","365751",0.58000000000
TX149,"3",FrD,"365712","365712",0.94000000000
TX149,"3",FrC,"365711","365711",0.94000000000
TX149,"3",HvB,"365724","365724",0.78000000000
TX149,"3",SxC,"365761","365761",0.75000000000
TX149,"3",HvB,"365724","365724",0.78000000000
TX149,"3",Bo,"365689","365689",1.43000000000
TX149,"3",CbD,"365698","365698",1.13000000000
TX149,"3",FrB,"365710","365710",1.06000000000
TX149,"3",FrD,"365712","365712",0.94000000000
TX149,"3",HvB,"365724","365724",0.78000000000
TX149,"3",RhB,"365744","365744",0.48000000000
TX149,"3",FrB,"365710","365710",1.06000000000
