OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FID,Id,X,Y
1,-1,40,0.025105792255833,1,40,0,-96.937500000000000,30.312500000000000
2,-1,40,0.032940052927768,1,40,0,-96.937500000000000,30.312500000000000
3,-1,40,0.024452029490625,1,40,0,-96.937500000000000,30.312500000000000
4,-1,22,0.043661466433719,1,22,0,-97.187500000000000,30.187500000000000
5,-1,56,0.055569988437058,1,56,0,-96.937500000000000,30.437500000000000
6,-1,59,0.061221134254145,1,59,0,-96.562500000000000,30.437500000000000
7,-1,22,0.045777057328396,1,22,0,-97.187500000000000,30.187500000000000
8,-1,22,0.035639095246773,1,22,0,-97.187500000000000,30.187500000000000
9,-1,40,0.027550249525800,1,40,0,-96.937500000000000,30.312500000000000
10,-1,22,0.045682655279204,1,22,0,-97.187500000000000,30.187500000000000
11,-1,38,0.059957574350897,1,38,0,-97.187500000000000,30.312500000000000
12,-1,41,0.057249825821987,1,41,0,-96.812500000000000,30.312500000000000
13,-1,38,0.064709306794447,1,38,0,-97.187500000000000,30.312500000000000
14,-1,55,0.048724816677605,1,55,0,-97.062500000000000,30.437500000000000
15,-1,22,0.050792910287461,1,22,0,-97.187500000000000,30.187500000000000
16,-1,38,0.069127756088008,1,38,0,-97.187500000000000,30.312500000000000
17,-1,22,0.065192666308411,1,22,0,-97.187500000000000,30.187500000000000
18,-1,39,0.056499913378277,1,39,0,-97.062500000000000,30.312500000000000
19,-1,41,0.062861651495253,1,41,0,-96.812500000000000,30.312500000000000
20,-1,38,0.051726165544936,1,38,0,-97.187500000000000,30.312500000000000
21,-1,22,0.042133379426025,1,22,0,-97.187500000000000,30.187500000000000
22,-1,40,0.052462838345304,1,40,0,-96.937500000000000,30.312500000000000
23,-1,23,0.012145446733208,1,23,0,-97.062500000000000,30.187500000000000
24,-1,39,0.047523771527103,1,39,0,-97.062500000000000,30.312500000000000
25,-1,55,0.077097107239974,1,55,0,-97.062500000000000,30.437500000000000
26,-1,23,0.030419698516863,1,23,0,-97.062500000000000,30.187500000000000
27,-1,40,0.031079986177557,1,40,0,-96.937500000000000,30.312500000000000
28,-1,39,0.053213931190009,1,39,0,-97.062500000000000,30.312500000000000
29,-1,23,0.054002821691739,1,23,0,-97.062500000000000,30.187500000000000
30,-1,23,0.036944678764624,1,23,0,-97.062500000000000,30.187500000000000
31,-1,59,0.059615591184341,1,59,0,-96.562500000000000,30.437500000000000
32,-1,23,0.049694846782949,1,23,0,-97.062500000000000,30.187500000000000
33,-1,41,0.058926044943899,1,41,0,-96.812500000000000,30.312500000000000
34,-1,39,0.078479157993596,1,39,0,-97.062500000000000,30.312500000000000
35,-1,23,0.033062563209417,1,23,0,-97.062500000000000,30.187500000000000
36,-1,22,0.035614395472965,1,22,0,-97.187500000000000,30.187500000000000
37,-1,23,0.023396836210155,1,23,0,-97.062500000000000,30.187500000000000
38,-1,41,0.039139851267595,1,41,0,-96.812500000000000,30.312500000000000
39,-1,23,0.020682024969250,1,23,0,-97.062500000000000,30.187500000000000
40,-1,42,0.055138514788214,1,42,0,-96.687500000000000,30.312500000000000
41,-1,23,0.063792166811894,1,23,0,-97.062500000000000,30.187500000000000
42,-1,39,0.073844021896658,1,39,0,-97.062500000000000,30.312500000000000
43,-1,23,0.039221442829762,1,23,0,-97.062500000000000,30.187500000000000
44,-1,38,0.040073435262565,1,38,0,-97.187500000000000,30.312500000000000
45,-1,40,0.028614432600489,1,40,0,-96.937500000000000,30.312500000000000
46,-1,55,0.059506857047999,1,55,0,-97.062500000000000,30.437500000000000
47,-1,24,0.021886129730444,1,24,0,-96.937500000000000,30.187500000000000
48,-1,40,0.056523290826846,1,40,0,-96.937500000000000,30.312500000000000
49,-1,38,0.044386170155508,1,38,0,-97.187500000000000,30.312500000000000
50,-1,38,0.042248712565820,1,38,0,-97.187500000000000,30.312500000000000
51,-1,39,0.059117499126018,1,39,0,-97.062500000000000,30.312500000000000
52,-1,42,0.056786203583281,1,42,0,-96.687500000000000,30.312500000000000
53,-1,38,0.046195595976643,1,38,0,-97.187500000000000,30.312500000000000
54,-1,38,0.050889399549571,1,38,0,-97.187500000000000,30.312500000000000
55,-1,38,0.040611384235075,1,38,0,-97.187500000000000,30.312500000000000
56,-1,41,0.042026303135827,1,41,0,-96.812500000000000,30.312500000000000
57,-1,38,0.054373304423924,1,38,0,-97.187500000000000,30.312500000000000
58,-1,42,0.058615284922994,1,42,0,-96.687500000000000,30.312500000000000
59,-1,37,0.065470311170526,1,37,0,-97.312500000000000,30.312500000000000
60,-1,41,0.035200322804816,1,41,0,-96.812500000000000,30.312500000000000
61,-1,41,0.048977364887472,1,41,0,-96.812500000000000,30.312500000000000
62,-1,41,0.044956120000894,1,41,0,-96.812500000000000,30.312500000000000
63,-1,38,0.048557922473454,1,38,0,-97.187500000000000,30.312500000000000
64,-1,39,0.069478054042081,1,39,0,-97.062500000000000,30.312500000000000
65,-1,38,0.040952136724847,1,38,0,-97.187500000000000,30.312500000000000
66,-1,38,0.066232681967528,1,38,0,-97.187500000000000,30.312500000000000
67,-1,37,0.071748584651228,1,37,0,-97.312500000000000,30.312500000000000
68,-1,41,0.044926136414339,1,41,0,-96.812500000000000,30.312500000000000
69,-1,41,0.050045343638233,1,41,0,-96.812500000000000,30.312500000000000
70,-1,37,0.079124833191650,1,37,0,-97.312500000000000,30.312500000000000
71,-1,55,0.062323286705810,1,55,0,-97.062500000000000,30.437500000000000
72,-1,42,0.025768103892912,1,42,0,-96.687500000000000,30.312500000000000
73,-1,39,0.035088631865210,1,39,0,-97.062500000000000,30.312500000000000
74,-1,39,0.043810478564388,1,39,0,-97.062500000000000,30.312500000000000
75,-1,40,0.057789602938574,1,40,0,-96.937500000000000,30.312500000000000
76,-1,39,0.037101745505837,1,39,0,-97.062500000000000,30.312500000000000
77,-1,40,0.052082734530696,1,40,0,-96.937500000000000,30.312500000000000
78,-1,40,0.050840250495337,1,40,0,-96.937500000000000,30.312500000000000
79,-1,40,0.044499566067226,1,40,0,-96.937500000000000,30.312500000000000
80,-1,40,0.047741523171759,1,40,0,-96.937500000000000,30.312500000000000
81,-1,23,0.030459101143360,1,23,0,-97.062500000000000,30.187500000000000
82,-1,40,0.038497480075622,1,40,0,-96.937500000000000,30.312500000000000
83,-1,39,0.064108141138243,1,39,0,-97.062500000000000,30.312500000000000
84,-1,39,0.065039176600903,1,39,0,-97.062500000000000,30.312500000000000
85,-1,40,0.070482344979241,1,40,0,-96.937500000000000,30.312500000000000
86,-1,39,0.044588298165490,1,39,0,-97.062500000000000,30.312500000000000
87,-1,40,0.056086599849940,1,40,0,-96.937500000000000,30.312500000000000
88,-1,40,0.059795333277815,1,40,0,-96.937500000000000,30.312500000000000
89,-1,40,0.066231479003996,1,40,0,-96.937500000000000,30.312500000000000
90,-1,40,0.063083489434085,1,40,0,-96.937500000000000,30.312500000000000
91,-1,40,0.075820378174921,1,40,0,-96.937500000000000,30.312500000000000
92,-1,40,0.063528772937336,1,40,0,-96.937500000000000,30.312500000000000
93,-1,40,0.052409699287446,1,40,0,-96.937500000000000,30.312500000000000
94,-1,40,0.052912599320133,1,40,0,-96.937500000000000,30.312500000000000
95,-1,40,0.038916871972781,1,40,0,-96.937500000000000,30.312500000000000
96,-1,39,0.018457037550402,1,39,0,-97.062500000000000,30.312500000000000
97,-1,40,0.061375253349338,1,40,0,-96.937500000000000,30.312500000000000
98,-1,39,0.079943856256333,1,39,0,-97.062500000000000,30.312500000000000
99,-1,24,0.038676296347523,1,24,0,-96.937500000000000,30.187500000000000
100,-1,41,0.051204292205808,1,41,0,-96.812500000000000,30.312500000000000
101,-1,24,0.025578644126662,1,24,0,-96.937500000000000,30.187500000000000
102,-1,39,0.055747639610523,1,39,0,-97.062500000000000,30.312500000000000
103,-1,25,0.052280605872162,1,25,0,-96.812500000000000,30.187500000000000
104,-1,40,0.045584454252842,1,40,0,-96.937500000000000,30.312500000000000
105,-1,40,0.031131610916583,1,40,0,-96.937500000000000,30.312500000000000
106,-1,24,0.005761907252775,1,24,0,-96.937500000000000,30.187500000000000
107,-1,40,0.028403316703068,1,40,0,-96.937500000000000,30.312500000000000
108,-1,40,0.030188565585369,1,40,0,-96.937500000000000,30.312500000000000
109,-1,39,0.056123911733639,1,39,0,-97.062500000000000,30.312500000000000
110,-1,40,0.031626038695351,1,40,0,-96.937500000000000,30.312500000000000
111,-1,40,0.034102823966268,1,40,0,-96.937500000000000,30.312500000000000
112,-1,40,0.037262011228158,1,40,0,-96.937500000000000,30.312500000000000
113,-1,40,0.043201118767535,1,40,0,-96.937500000000000,30.312500000000000
114,-1,40,0.032863337936542,1,40,0,-96.937500000000000,30.312500000000000
115,-1,40,0.028701224143472,1,40,0,-96.937500000000000,30.312500000000000
116,-1,40,0.031770336073897,1,40,0,-96.937500000000000,30.312500000000000
117,-1,40,0.028064511109627,1,40,0,-96.937500000000000,30.312500000000000
118,-1,40,0.036782075410944,1,40,0,-96.937500000000000,30.312500000000000
119,-1,40,0.023144748492586,1,40,0,-96.937500000000000,30.312500000000000
120,-1,40,0.026027116224065,1,40,0,-96.937500000000000,30.312500000000000
121,-1,40,0.034695362700229,1,40,0,-96.937500000000000,30.312500000000000
122,-1,40,0.043946052684526,1,40,0,-96.937500000000000,30.312500000000000
123,-1,41,0.037530539320397,1,41,0,-96.812500000000000,30.312500000000000
124,-1,24,0.017094893787647,1,24,0,-96.937500000000000,30.187500000000000
125,-1,39,0.084398924525684,1,39,0,-97.062500000000000,30.312500000000000
126,-1,42,0.056099868106490,1,42,0,-96.687500000000000,30.312500000000000
127,-1,25,0.050124674569481,1,25,0,-96.812500000000000,30.187500000000000
128,-1,55,0.049152210618467,1,55,0,-97.062500000000000,30.437500000000000
129,-1,41,0.053816510068254,1,41,0,-96.812500000000000,30.312500000000000
130,-1,24,0.051634112474042,1,24,0,-96.937500000000000,30.187500000000000
131,-1,39,0.052255524594871,1,39,0,-97.062500000000000,30.312500000000000
132,-1,41,0.055156202517678,1,41,0,-96.812500000000000,30.312500000000000
133,-1,40,0.031592571481242,1,40,0,-96.937500000000000,30.312500000000000
134,-1,40,0.030658850828732,1,40,0,-96.937500000000000,30.312500000000000
135,-1,40,0.024814810969433,1,40,0,-96.937500000000000,30.312500000000000
136,-1,40,0.026500843385766,1,40,0,-96.937500000000000,30.312500000000000
137,-1,24,0.048112179533052,1,24,0,-96.937500000000000,30.187500000000000
138,-1,24,0.058711541379733,1,24,0,-96.937500000000000,30.187500000000000
139,-1,40,0.034986025207729,1,40,0,-96.937500000000000,30.312500000000000
140,-1,40,0.035033874652661,1,40,0,-96.937500000000000,30.312500000000000
141,-1,41,0.054202726675859,1,41,0,-96.812500000000000,30.312500000000000
142,-1,41,0.056457687921432,1,41,0,-96.812500000000000,30.312500000000000
143,-1,40,0.029458631704908,1,40,0,-96.937500000000000,30.312500000000000
144,-1,40,0.061871401146485,1,40,0,-96.937500000000000,30.312500000000000
145,-1,41,0.021376559558366,1,41,0,-96.812500000000000,30.312500000000000
146,-1,24,0.018737854182651,1,24,0,-96.937500000000000,30.187500000000000
147,-1,59,0.045960662038962,1,59,0,-96.562500000000000,30.437500000000000
148,-1,40,0.037916971291622,1,40,0,-96.937500000000000,30.312500000000000
149,-1,40,0.026865857941539,1,40,0,-96.937500000000000,30.312500000000000
150,-1,40,0.033833560957310,1,40,0,-96.937500000000000,30.312500000000000
151,-1,40,0.044567159132684,1,40,0,-96.937500000000000,30.312500000000000
152,-1,40,0.032774403437508,1,40,0,-96.937500000000000,30.312500000000000
153,-1,40,0.051103134385819,1,40,0,-96.937500000000000,30.312500000000000
154,-1,40,0.056452577949225,1,40,0,-96.937500000000000,30.312500000000000
155,-1,40,0.039873862030190,1,40,0,-96.937500000000000,30.312500000000000
156,-1,40,0.046000856267786,1,40,0,-96.937500000000000,30.312500000000000
157,-1,41,0.042991780250493,1,41,0,-96.812500000000000,30.312500000000000
