OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Length,Shape_Area
180,TX491,7,RbtF,373539,4474.761692151314492,248981.624326454999391
181,TX491,7,PITQ,373578,576.888986708190714,24602.679931581500568
182,TX491,7,CrB,373535,632.036645144170848,21850.654892683876824
183,TX491,7,RoC,373571,1182.705351648521173,64989.290971376642119
184,TX491,7,RbtF,373539,13387.487758663399291,923452.783332829480059
185,TX491,7,RbtF,373539,7448.189154818840507,518600.078246465476695
186,TX491,7,CrC3,373536,1740.273965548836941,113341.574857581683318
187,TX491,7,RkD,373570,3419.871403559428018,129052.461784774801345
188,TX491,7,CrC3,373536,2586.939450514569671,141080.728223456622800
189,TX491,7,RaB,373569,858.931769949747718,35672.496035965894407
190,TX491,7,RkD,373570,635.849893869160155,27285.348514004006574
191,TX491,7,RkD,373570,709.864531623369544,25862.014930934416043
192,TX491,7,AxC3,373521,866.666098831100044,39096.686983914740267
193,TX491,7,CrC3,373536,1374.847637348377248,51371.876282564837311
194,TX491,7,CrB,373535,3652.678521291976267,142586.455776435963344
195,TX491,7,RoC,373571,1035.651759402131120,32963.084839896291669
196,TX491,7,AxC3,373521,1380.760241015836073,105027.838988358635106
197,TX491,7,BeC3,373523,3468.509211897563546,168510.342801052902360
198,TX491,7,CrC3,373536,19600.237111310514592,1920798.605266641126946
199,TX491,7,RaB,373569,1556.029733139149130,68165.709110785101075
200,TX491,7,AxC3,373521,142076.562296332878759,16433000.984379468485713
201,TX491,7,AxB,373520,4781.970412169671363,345171.223934159206692
202,TX491,7,AxC3,373521,739.541654259592065,20164.379525881060545
203,TX491,7,RoC,373571,949.989380520974692,48953.442157991252316
204,TX491,7,RbtF,373539,15648.614169679221959,1360766.281678643776104
205,TX491,7,RaB,373569,1366.509544399194965,62821.935175382997841
206,TX491,7,AxC3,373521,9496.220555850157325,1064769.160767020657659
207,TX491,7,PaD,373567,1083.384397028817602,74195.955631618810003
208,TX491,7,RaB,373569,1213.447268161516149,46780.573230436115409
209,TX491,7,RbtF,373539,1314.918764460863940,96492.042518561720499
210,TX491,7,PaD,373567,3517.873728968431351,639055.137428718153387
211,TX491,7,AxB,373520,1755.010056092041168,150595.893671861500479
212,TX491,7,PaD,373567,1074.823192777488657,46039.328296507810592
213,TX491,7,WlB,373581,995.220014765809424,51846.159544896327134
214,TX491,7,CrB,373535,1870.561608693661810,100237.200259695440764
215,TX491,7,UhA,373576,57091.467720101602026,3207774.509460116736591
216,TX491,7,RaB,373569,687.069986331131304,23310.887528232688055
217,TX491,7,AxB,373520,1796.213054304168963,123755.142658069744357
218,TX491,7,AxC3,373521,1976.286481500759464,163014.303147714381339
219,TX491,7,AxC3,373521,683.520560079969300,25434.218365978700604
220,TX491,7,PaD,373567,1596.529320264144189,109950.551813360201777
221,TX491,7,AxB,373520,747.530719072523993,26967.358888737308007
222,TX491,7,WlB,373581,1813.464534451885129,97196.828554747859016
223,TX491,7,RkD,373570,1516.872560029390343,122971.999466859066160
224,TX491,7,DfA,373538,6857.579226780868339,292933.190967515809461
225,TX491,7,BeB,373522,2072.374203325875442,107314.740169372453238
226,TX491,7,RoC,373571,708.745511333425611,21625.923239558676869
227,TX491,7,AxB,373520,1397.028012788643764,84320.773728065280011
228,TX491,7,CrB,373535,1462.101515234568524,87800.565067297604401
229,TX491,7,HeiD3,373557,2349.005715756316022,130988.639496313378913
230,TX491,7,BuB,373530,419.444578845164472,7860.600295470838319
231,TX491,7,WlB,373581,1811.248137683958475,92071.495047032221919
232,TX491,7,HeiD3,373557,7530.478479089392749,775123.764286556746811
233,TX491,7,AxC3,373521,1183.541717909378121,58368.006094238771766
234,TX491,7,W,373577,1080.083183456096776,55848.927629751677159
235,TX491,7,BeC3,373523,690.190849831879973,22837.941310828216956
236,TX491,7,CrC3,373536,1102.018798747239771,37868.861250759167888
237,TX491,7,BeC3,373523,1845.378800119817470,86926.109911365332664
238,TX491,7,CrC3,373536,1922.498051478980415,75447.022719144733856
239,TX491,7,CrC3,373536,2076.522791790069732,106022.107190093927784
240,TX491,7,BeB,373522,1360.289262831950737,40785.089696995768463
241,TX491,7,AxC3,373521,1236.795208186160153,59211.296864688360074
242,TX491,7,CrC3,373536,1122.071391194277339,45178.299070993671194
243,TX491,7,RaB,373569,2220.921627337374503,115465.178056414457387
244,TX491,7,PaD,373567,12166.777882205844435,1342956.420730038313195
245,TX491,7,CrC3,373536,1378.528266085402947,79844.762372912795399
246,TX491,7,RkD,373570,1385.565459370816825,97983.721246181477909
247,TX491,7,CrC3,373536,639.461092665891215,29840.768688961663429
248,TX491,7,RbtF,373539,2034.059441539696081,152778.159870571078500
249,TX491,7,RoC,373571,676.710945652426176,31094.629301448680053
250,TX491,7,RaB,373569,6248.598085150229963,625299.190816903486848
251,TX491,7,HedC2,373556,7351.926109803869622,509807.082401093910448
252,TX491,7,PaD,373567,5820.001300853808061,1228111.798777659423649
253,TX491,7,RaB,373569,3129.765972470122506,176102.627218218753114
254,TX491,7,RkD,373570,990.390188355131841,43861.346929744991940
255,TX491,7,CrB,373535,1248.017652771928397,60307.952475774014601
256,TX491,7,BuB,373530,7174.442217685805190,363582.463690719334409
257,TX491,7,AxB,373520,1922.107141179265000,71261.945613619041978
258,TX491,7,BeB,373522,1647.538570840822103,77514.645518972538412
259,TX491,7,CrB,373535,9289.384920011743816,696265.444980142987333
260,TX491,7,RaB,373569,1663.861507504966994,123258.378746364396648
261,TX491,7,RbtF,373539,748.451971915128865,32623.387691966647253
262,TX491,7,RkD,373570,4692.710348935281218,355608.027746027742978
263,TX491,7,AxB,373520,2685.823412802671555,287491.115875681687612
264,TX491,7,RaB,373569,1662.324152616804440,153916.675096770777600
265,TX491,7,CrC3,373536,702.308073266365227,25180.129781038784131
266,TX491,7,CrC3,373536,9872.086604491398248,1331921.419094259617850
267,TX491,7,RoC,373571,956.982204925715337,65454.434050880670839
268,TX491,7,CrC3,373536,26634.337077575219155,2479862.942495631985366
269,TX491,7,PaD,373567,1135.251364667335338,66573.171467618318275
270,TX491,7,RaB,373569,7843.054752321009801,543575.369117242051288
271,TX491,7,RbtF,373539,868.938973401705880,27404.441671043598035
272,TX491,7,AxC3,373521,3572.430707538402658,492627.163482855889015
273,TX491,7,CrC3,373536,744.361342321846337,34540.321926329350390
274,TX491,7,RaB,373569,1383.687730592378102,42405.582512618151668
275,TX491,7,CrC3,373536,1602.583641790295587,96927.790429335931549
276,TX491,7,WlA,373580,541.360356783698194,14097.571289317929768
277,TX491,7,RaB,373569,615.651921832926178,23751.564882879254583
278,TX491,7,CrB,373535,1744.698484652028128,95469.634241304025636
279,TX491,7,BktD,373524,637.056376828893690,28761.195436314148537
280,TX491,7,PaD,373567,1619.983593739299749,138319.438186122657498
281,TX491,7,CrC3,373536,3010.368051262029894,257342.222988598048687
282,TX491,7,RkD,373570,4912.841029055501167,266711.765502846857999
283,TX491,7,AxC3,373521,1464.889311150584945,60419.054044379437983
284,TX491,7,BeB,373522,2006.472930725303968,113407.287966716627125
285,TX491,7,HoB,373560,1741.100348490149145,59820.158094054560934
286,TX491,7,BeB,373522,984.710366346266255,41765.900261874412536
287,TX491,7,FhF2,373552,1612.601952493195768,95890.282957107468974
288,TX491,7,BeC3,373523,2683.868422591501258,101561.426049575908110
289,TX491,7,BeC3,373523,5841.492096773779849,381243.940030159370508
290,TX491,7,CrC3,373536,3443.977807694604053,245649.010305237548891
291,TX491,7,RoC,373571,3583.329463899247912,265918.809198381786700
292,TX491,7,RoC,373571,628.949745409781826,17714.414753447596013
293,TX491,7,RoC,373571,1310.967356477411386,95231.919502719814773
294,TX491,7,CrC3,373536,2294.433446748066672,221583.033270905929385
295,TX491,7,RoC,373571,4630.374368139083344,467725.338391776836943
296,TX491,7,WlA,373580,1049.134475262618480,24956.083107008820662
297,TX491,7,RoC,373571,651.169307284113188,23535.346664485317888
298,TX491,7,RaB,373569,7054.145535874884445,462563.248970645072404
299,TX491,7,CrC3,373536,3106.846298429629769,280033.778702453884762
300,TX491,7,WlB,373581,1887.211133832420046,60082.390027218294563
301,TX491,7,CrC3,373536,798.379205749411426,40550.241423926279822
302,TX491,7,AxC3,373521,7843.040522012938709,567489.786072896677069
303,TX491,7,RaB,373569,1930.837754245866336,77084.622342135888175
304,TX491,7,RkD,373570,2537.889022385780663,181918.045556579891127
305,TX491,7,AxC3,373521,6862.019815836145426,605302.847910931683145
306,TX491,7,WlB,373581,1010.373942943736324,31359.938621720753872
307,TX491,7,RaB,373569,881.571620032020974,19973.487667811401479
308,TX491,7,RbtF,373539,1272.075960963402849,83470.291036602211534
309,TX491,7,CrC3,373536,3448.445052178689366,342859.427327195589896
310,TX491,7,RoC,373571,925.273457603517500,43182.392034610253177
311,TX491,7,RoC,373571,1773.559089716457265,137121.005031856329879
312,TX491,7,CrC3,373536,11676.541701613557962,908530.874482380459085
313,TX491,7,CrB,373535,1003.624363975144661,45286.206349902684451
314,TX491,7,HeiD3,373557,1626.792070661492517,99436.562358219583984
315,TX491,7,BeC3,373523,2033.597714412920368,105201.920300014491659
316,TX491,7,CrB,373535,1767.523043244375913,75138.818502461668686
317,TX491,7,CrC3,373536,1572.753225609403671,136563.413958921039011
318,TX491,7,CrC3,373536,693.338914600599310,27550.697567086055642
319,TX491,7,RoC,373571,762.075271146267710,35368.752882013017370
320,TX491,7,RkD,373570,1273.527466036890246,89672.606587750153267
321,TX491,7,AxC3,373521,1334.176509142527038,100129.275666945657576
322,TX491,7,HoB,373560,1019.338567253900123,49755.023978322446055
323,TX491,7,WlB,373581,1673.856507709651169,81554.593221990362508
324,TX491,7,CrC3,373536,2701.077309921097822,225337.275248490041122
325,TX491,7,RkD,373570,1037.660562620537121,47520.475475517770974
326,TX491,7,RoC,373571,6712.901320993187255,1061590.670653073117137
327,TX491,7,RaB,373569,1216.118239641109312,46574.234932513893000
328,TX491,7,RbtF,373539,2518.290833229195869,211273.611312645341968
329,TX491,7,RbtF,373539,1248.524042832791110,39063.460669796571892
330,TX491,7,AxC3,373521,17553.897392820043024,1905108.101808755658567
331,TX491,7,RkD,373570,971.910544357565414,31196.548460560778040
332,TX491,7,CrC3,373536,6204.295409375483359,875236.267864166409709
333,TX491,7,AxC3,373521,12833.112929099997928,1032109.803837014362216
334,TX491,7,RbtF,373539,417.461240873619545,9477.936851145064793
335,TX491,7,AxB,373520,7580.289879669325273,791161.518810019595549
336,TX491,7,CrC3,373536,13688.854710578680169,1591648.212373270886019
337,TX491,7,RkD,373570,1279.706523316725452,82728.591310416682973
338,TX491,7,RoC,373571,609.379734448834597,11181.161454104869335
339,TX491,7,BeB,373522,2694.383877441185177,137398.764744971878827
340,TX491,7,AxC3,373521,1042.907219302556996,12332.072058880967234
341,TX491,7,HeiD3,373557,1641.690392051128129,124130.566906760417623
342,TX491,7,CrC3,373536,8714.205935012440023,1185261.169449580600485
343,TX491,7,RoC,373571,846.743365791532256,39517.745737392775482
344,TX491,7,RoC,373571,3606.091995321900413,235791.404663549008546
345,TX491,7,CrC3,373536,510.949168146914019,12828.725735138441451
346,TX491,7,RkD,373570,413.360234398997022,7325.343070156283829
347,TX491,7,AxC3,373521,621.973484187206282,20574.026794694240380
348,TX491,7,RkD,373570,1331.492924919267807,95558.876988926975173
349,TX491,7,CrC3,373536,2234.373519795632546,219151.548342834808864
350,TX491,7,PaD,373567,1705.897658020178824,91911.989136957097799
351,TX491,7,AxC3,373521,6357.476092320457610,641201.723110577906482
352,TX491,7,RbtF,373539,755.943859071440556,33989.113748726384074
353,TX491,7,RaB,373569,772.630791097327915,40589.954745329472644
354,TX491,7,RaB,373569,1760.428423194978905,61951.688020523572050
355,TX491,7,RoC,373571,764.178196487013906,37395.852743380128231
356,TX491,7,CrB,373535,3302.804060405867403,221084.950360367889516
357,TX491,7,RkD,373570,3413.450797973928275,203125.492223262059269
358,TX491,7,WlB,373581,870.876786894601992,36565.464733842025453
359,TX491,7,AxC3,373521,791.745789579548727,30342.846507238667982
360,TX491,7,RbtF,373539,566.855986546353279,15128.964865332272893
361,TX491,7,RkD,373570,1378.450903736655619,72451.623818365842453
362,TX491,7,WlB,373581,1559.500018301182308,156272.540907453134423
363,TX491,7,DfA,373538,751.527532696890944,26617.174272060317890
364,TX491,7,RaB,373569,1876.043852872343223,122044.241953861870570
365,TX491,7,WlB,373581,550.100898453104492,15539.147656962100882
366,TX491,7,RbtF,373539,1048.121160506044589,46843.401064750716614
367,TX491,7,CrB,373535,4583.920001250515270,405065.952040784235578
368,TX491,7,PaD,373567,966.771817480871391,40274.463844220474130
369,TX491,7,AxC3,373521,1474.897117027975355,66039.992529738301528
370,TX491,7,RbtF,373539,785.917992357335265,22280.036438698840357
371,TX491,7,AxC3,373521,2721.102930158813251,199798.212555600010091
372,TX491,7,CrC3,373536,5668.540054414827864,351850.156546865124255
373,TX491,7,RbtF,373539,1127.737839387242957,59748.548628764358000
374,TX491,7,AxC3,373521,3769.829702299228302,318735.336142126529012
375,TX491,7,RbtF,373539,1178.169929310768794,92023.098764984504669
376,TX491,7,RaB,373569,1041.117774827449921,31659.244627244766889
377,TX491,7,RkD,373570,855.818182953989094,29343.656220972436131
378,TX491,7,RaB,373569,2702.000367129090591,170868.497464949061396
379,TX491,7,HeiD3,373557,4162.915239362114335,366268.243753732414916
380,TX491,7,BeC3,373523,2159.043129735241564,107683.947451445434126
381,TX491,7,BeB,373522,7291.224839444890677,446529.803389769163914
382,TX491,7,BeC3,373523,2477.697686947788043,193903.692587443685625
383,TX491,7,RaB,373569,7155.336062174722429,433197.811533457483165
384,TX491,7,RbtF,373539,960.547359156559651,21000.295979105838342
385,TX491,7,RkD,373570,3095.806086854938712,140565.434996427211445
386,TX491,7,CrB,373535,1262.806887010788387,55367.185676084111037
387,TX491,7,RoC,373571,1472.684735620303854,77251.595177869807230
388,TX491,7,HeiD3,373557,1450.400907365621606,32584.718207264129887
389,TX491,7,UhA,373576,2012.917004331626686,85101.575050092913443
390,TX491,7,PaD,373567,588.728203110174263,20797.752257559066493
391,TX491,7,RaB,373569,1166.784591073964521,65205.629326767470047
392,TX491,7,DfA,373538,2703.364444194083717,102822.088808955275454
393,TX491,7,AxB,373520,1600.062556658688436,80279.650839967027423
394,TX491,7,AxB,373520,864.796235631046557,33349.275084417655307
395,TX491,7,CrC3,373536,1149.611325977393108,58963.844785258093907
396,TX491,7,RbtF,373539,1975.305251667129824,111909.970512835701811
397,TX491,7,RkD,373570,901.759836788037887,41674.709928267257055
398,TX491,7,CrB,373535,16001.294591507492441,1092681.516255577793345
399,TX491,7,UhA,373576,2944.995110774239947,102691.201219438720727
400,TX491,7,HeiD3,373557,1131.180212506714952,55125.439250142924720
401,TX491,7,CrC3,373536,3785.291180316277860,394062.514923998096492
402,TX491,7,BeC3,373523,1717.234764769101503,112730.952879061340354
403,TX491,7,BeC3,373523,2238.993576627651237,146588.143770808586851
404,TX491,7,BeB,373522,697.104604496780439,25835.712621960839897
405,TX491,7,HedC2,373556,1163.082178180616665,81669.059527206482016
406,TX491,7,BuB,373530,874.864004512790643,37272.085109399595240
407,TX491,7,BeB,373522,1131.369548429490123,50665.238991913305654
408,TX491,7,RaB,373569,5701.542639721557862,491365.175797209609300
409,TX491,7,AxC3,373521,5565.210155493405182,462552.150816051405855
410,TX491,7,AxC3,373521,3769.599653027366003,517034.584660892840475
411,TX491,7,CrC3,373536,75.861155912079255,75.172361464217616
412,TX491,7,CrC3,373536,2941.169924995730526,223695.241316383442609
413,TX491,7,EyB,373548,611.414261195539666,19641.341759721428389
414,TX491,7,RkD,373570,715.541236505705683,17844.739213769982598
415,TX491,7,CrB,373535,3005.837788959747741,128495.863884450722253
416,TX491,7,AxC3,373521,2243.858857022788015,199143.384608834836399
