MUKEY	SILT	CLAY	OM	BD	AREA
363202	33.3000	42.5000	1.3600	0.0000	TX041
363219	25.0000	61.0000	1.2800	0.0000	TX041
363227	34.3000	64.7000	1.3700	0.0000	TX041
363249	70.8000	15.2000	1.4200	0.0000	TX041
363250	70.8000	15.2000	1.4200	0.0000	TX041
363252	70.9000	15.1000	1.4200	0.0000	TX041
363255	0.0000	0.0000	0.0000	0.0000	TX041
363422	1.5000	1.0000	1.4200	0.0000	TX051
363423	28.8000	36.2000	1.3800	0.0000	TX051
363424	66.6000	23.4000	1.3700	0.0000	TX051
363425	26.4000	38.2000	1.4400	0.0000	TX051
363426	27.1000	28.2000	1.4400	0.0000	TX051
363427	27.7000	41.5000	1.4500	0.0000	TX051
363428	30.4000	41.9000	1.5500	0.0000	TX051
363429	30.1000	32.4000	1.4600	0.0000	TX051
363433	28.5000	37.9000	1.4700	0.0000	TX051
363434	29.9000	40.3000	1.3800	0.0000	TX051
363435	28.5000	37.4000	1.3800	0.0000	TX051
363436	4.1000	4.6000	1.4500	0.0000	TX051
363437	20.3000	31.8000	1.4500	0.0000	TX051
363438	30.9000	28.7000	1.4500	0.0000	TX051
363439	70.8000	16.2000	1.2900	0.0000	TX051
363440	26.4000	38.2000	1.5400	0.0000	TX051
363441	25.4000	36.3000	1.4700	0.0000	TX051
363442	1.7000	6.9000	1.5900	0.0000	TX051
363443	2.0000	6.9000	1.5800	0.0000	TX051
363444	19.7000	21.4000	1.6000	0.0000	TX051
363445	23.3000	58.0000	1.3600	0.0000	TX051
363446	24.5000	29.8000	1.4500	0.0000	TX051
363447	39.0000	39.9000	1.3900	0.0000	TX051
363448	28.1000	38.6000	1.4300	0.0000	TX051
363449	27.7000	37.4000	1.4200	0.0000	TX051
363450	28.4000	39.2000	1.4200	0.0000	TX051
363451	21.0000	70.0000	1.3400	0.0000	TX051
363452	27.4000	45.2000	1.3900	0.0000	TX051
363453	28.0000	46.9000	1.3900	0.0000	TX051
363454	27.1000	43.5000	1.3500	0.0000	TX051
363455	29.2000	47.5000	1.3800	0.0000	TX051
363456	29.2000	47.5000	1.3800	0.0000	TX051
363457	28.7000	40.7000	1.5500	0.0000	TX051
363458	28.8000	45.9000	1.4900	0.0000	TX051
363459	4.5000	8.9000	1.3700	0.0000	TX051
363460	5.8000	10.5000	1.3900	0.0000	TX051
363461	0.0000	0.0000	0.0000	0.0000	TX051
363462	17.1000	29.5000	1.5400	0.0000	TX051
363463	19.4000	17.9000	1.4800	0.0000	TX051
363464	19.0000	21.4000	1.5800	0.0000	TX051
363465	25.4000	65.1000	1.2700	0.0000	TX051
363466	37.9000	22.3000	1.4400	0.0000	TX051
363467	34.3000	64.7000	1.3700	0.0000	TX051
363468	34.3000	64.7000	1.3700	0.0000	TX051
363469	22.8000	30.3000	1.4200	0.0000	TX051
363470	12.4000	15.9000	1.5000	0.0000	TX051
363471	15.1000	18.5000	1.5400	0.0000	TX051
363472	13.5000	19.7000	1.5700	0.0000	TX051
363473	26.6000	33.2000	1.5200	0.0000	TX051
363474	12.5000	31.7000	1.5200	0.0000	TX051
363476	28.4000	36.2000	1.5000	0.0000	TX051
363477	28.9000	18.8000	1.4000	0.0000	TX051
363478	0.0000	0.0000	0.0000	0.0000	TX051
363480	28.7000	16.2000	1.4200	0.0000	TX051
363481	28.7000	16.2000	1.4200	0.0000	TX051
363482	47.8000	42.4000	1.5400	0.0000	TX051
363483	21.2000	13.8000	1.5600	0.0000	TX051
363484	23.0000	33.0000	1.4200	0.0000	TX051
363485	28.9000	45.5000	1.4800	0.0000	TX051
363486	29.1000	39.3000	1.5200	0.0000	TX051
365686	28.8000	36.2000	1.3800	0.0000	TX149
365688	28.6000	53.6000	1.2700	0.0000	TX149
365691	48.7000	42.7000	1.3100	0.0000	TX149
365694	21.0000	39.5000	1.3800	0.0000	TX149
365697	18.4000	28.0000	1.3900	0.0000	TX149
365700	18.9000	17.4000	1.5500	0.0000	TX149
365701	16.5000	30.2000	1.4600	0.0000	TX149
365703	26.4000	38.2000	1.5400	0.0000	TX149
365709	30.3000	40.8000	1.5000	0.0000	TX149
365710	27.9000	53.4000	1.4000	0.0000	TX149
365711	28.5000	52.9000	1.4000	0.0000	TX149
365724	13.1000	30.9000	1.5700	0.0000	TX149
365731	27.9000	50.0000	1.3600	0.0000	TX149
365734	32.7000	32.8000	1.5200	0.0000	TX149
365745	23.7000	39.6000	1.4500	0.0000	TX149
365751	18.0000	20.6000	1.6200	0.0000	TX149
365752	19.4000	22.9000	1.4500	0.0000	TX149
365757	7.7000	17.8000	1.4200	0.0000	TX149
365758	23.3000	32.8000	1.4500	0.0000	TX149
365760	13.9000	31.8000	1.5900	0.0000	TX149
365761	20.5000	34.3000	1.5500	0.0000	TX149
365769	47.4000	41.8000	1.5400	0.0000	TX149
365771	0.0000	0.0000	0.0000	0.0000	TX149
369053	19.0000	21.4000	1.5800	0.0000	TX287
369064	28.4000	33.1000	1.4300	0.0000	TX287
369066	29.2000	41.2000	1.5300	0.0000	TX287
369068	35.7000	28.2000	1.5400	0.0000	TX287
369069	27.2000	30.8000	1.5200	0.0000	TX287
369080	25.4000	36.3000	1.4700	0.0000	TX287
369081	33.4000	36.7000	1.5500	0.0000	TX287
369088	12.8000	11.8000	1.4800	0.0000	TX287
369089	16.7000	20.8000	1.5800	0.0000	TX287
369090	15.7000	21.7000	1.5100	0.0000	TX287
369096	29.4000	29.0000	1.4400	0.0000	TX287
369101	29.2000	47.5000	1.3700	0.0000	TX287
369107	28.4000	17.1000	1.4200	0.0000	TX287
369109	10.3000	62.3000	1.3500	0.0000	TX287
369112	40.8000	45.2000	1.5400	0.0000	TX287
369122	35.7000	28.2000	1.5400	0.0000	TX287
369124	28.7000	40.7000	1.5500	0.0000	TX287
369129	15.1000	18.5000	1.5400	0.0000	TX287
369130	14.9000	20.2000	1.5700	0.0000	TX287
369135	27.9000	50.0000	1.4700	0.0000	TX287
369137	19.7000	21.4000	1.6000	0.0000	TX287
369142	22.7000	37.9000	1.4500	0.0000	TX287
369146	27.2000	42.2000	1.4500	0.0000	TX287
369148	27.2000	39.2000	1.4100	0.0000	TX287
369162	24.7000	18.0000	1.4000	0.0000	TX287
369163	28.9000	33.4000	1.3800	0.0000	TX287
370659	35.3000	31.4000	1.4300	0.0000	TX331
370660	35.3000	31.4000	1.4300	0.0000	TX331
370666	23.9000	38.1000	1.5400	0.0000	TX331
370667	23.9000	38.1000	1.5400	0.0000	TX331
370669	0.0000	40.0000	1.3800	0.0000	TX331
370670	35.7000	28.2000	1.5400	0.0000	TX331
370671	35.7000	28.2000	1.5400	0.0000	TX331
370679	14.3000	28.9000	1.3800	0.0000	TX331
370681	32.7000	36.2000	1.5100	0.0000	TX331
370682	16.5000	22.5000	1.4700	0.0000	TX331
370684	28.8000	45.9000	1.4900	0.0000	TX331
370686	4.1000	9.1000	1.3800	0.0000	TX331
370688	0.0000	0.0000	0.0000	0.0000	TX331
370689	10.7000	30.2000	1.5300	0.0000	TX331
370691	10.1000	23.3000	1.4400	0.0000	TX331
370697	15.1000	18.5000	1.5400	0.0000	TX331
370704	16.7000	13.6000	1.4000	0.0000	TX331
370706	30.3000	41.6000	1.5300	0.0000	TX331
370709	0.0000	0.0000	0.0000	0.0000	TX331
370711	0.0000	0.0000	0.0000	0.0000	TX331
373135	28.7000	34.6000	1.3900	0.0000	TX477
373136	21.4000	69.6000	1.3400	0.0000	TX477
373137	42.3000	41.8000	1.3200	0.0000	TX477
373139	28.8000	48.3000	1.3800	0.0000	TX477
373140	22.7000	37.9000	1.4500	0.0000	TX477
373141	28.4000	36.9000	1.3800	0.0000	TX477
373142	28.9000	43.9000	1.3800	0.0000	TX477
373143	28.3000	34.6000	1.3800	0.0000	TX477
373144	50.0000	28.0000	1.3800	0.0000	TX477
373145	47.0000	28.0000	1.3800	0.0000	TX477
373147	47.0000	28.0000	1.3800	0.0000	TX477
373148	21.1000	29.7000	1.5000	0.0000	TX477
373150	41.0000	36.5000	1.4100	0.0000	TX477
373151	57.9000	33.6000	1.4000	0.0000	TX477
373152	28.5000	36.4000	1.5700	0.0000	TX477
373153	28.9000	40.1000	1.5300	0.0000	TX477
373154	26.5000	27.5000	1.5600	0.0000	TX477
373155	24.0000	27.5000	1.5700	0.0000	TX477
373156	17.4000	27.5000	1.5600	0.0000	TX477
373157	26.7000	39.3000	1.4200	0.0000	TX477
373158	25.2000	34.4000	1.4100	0.0000	TX477
373159	27.9000	53.4000	1.4000	0.0000	TX477
373160	28.5000	52.9000	1.4000	0.0000	TX477
373161	28.5000	52.9000	1.4000	0.0000	TX477
373162	37.6000	27.9000	1.4700	0.0000	TX477
373163	27.9000	50.0000	1.2800	0.0000	TX477
373164	27.9000	50.0000	1.2800	0.0000	TX477
373165	21.0000	70.0000	1.3400	0.0000	TX477
373166	2.8000	9.0000	1.5200	0.0000	TX477
373167	29.9000	22.1000	1.5200	0.0000	TX477
373168	28.9000	38.2000	1.4300	0.0000	TX477
373169	15.4000	21.1000	1.5200	0.0000	TX477
373170	15.5000	22.0000	1.5200	0.0000	TX477
373171	10.3000	19.1000	1.4900	0.0000	TX477
373172	27.9000	50.0000	1.3600	0.0000	TX477
373173	27.9000	50.0000	1.3600	0.0000	TX477
373174	27.9000	50.0000	1.3600	0.0000	TX477
373175	20.9000	31.6000	1.5200	0.0000	TX477
373176	28.1000	39.3000	1.5500	0.0000	TX477
373177	28.5000	40.4000	1.5500	0.0000	TX477
373178	45.9000	26.5000	1.3500	0.0000	TX477
373179	27.9000	25.8000	1.4300	0.0000	TX477
373182	19.3000	17.0000	1.5900	0.0000	TX477
373183	12.8000	11.8000	1.4800	0.0000	TX477
373184	0.0000	0.0000	0.0000	0.0000	TX477
373185	18.5000	20.6000	1.4800	0.0000	TX477
373186	39.2000	25.0000	1.4000	0.0000	TX477
373187	39.2000	25.0000	1.4000	0.0000	TX477
373188	39.2000	25.0000	1.4000	0.0000	TX477
373189	27.6000	41.3000	1.5000	0.0000	TX477
373190	28.6000	53.6000	1.2700	0.0000	TX477
373191	0.0000	0.0000	0.0000	0.0000	TX477
373192	12.9000	19.0000	1.4700	0.0000	TX477
373193	13.4000	19.9000	1.4600	0.0000	TX477
373195	26.3000	39.8000	1.5000	0.0000	TX477
373196	26.2000	37.4000	1.4900	0.0000	TX477
373197	13.7000	24.5000	1.5400	0.0000	TX477
373198	16.7000	27.2000	1.5600	0.0000	TX477
373199	21.1000	70.0000	1.3500	0.0000	TX477
373200	21.1000	70.0000	1.3800	0.0000	TX477
373201	29.1000	52.8000	1.2500	0.0000	TX477
373203	37.0000	43.6000	1.5400	0.0000	TX477
373204	31.9000	42.4000	1.5400	0.0000	TX477
373205	33.1000	32.0000	1.3000	0.0000	TX477
373206	21.4000	69.5000	1.3400	0.0000	TX477
373207	0.0000	0.0000	0.0000	0.0000	TX477
373519	48.0000	45.0000	1.3900	0.0000	TX491
373520	26.2000	37.9000	1.4400	0.0000	TX491
373521	29.3000	37.4000	1.5800	0.0000	TX491
373522	35.3000	47.9000	1.4500	0.0000	TX491
373523	35.3000	47.9000	1.4500	0.0000	TX491
373524	45.1000	29.3000	1.4200	0.0000	TX491
373530	28.8000	48.3000	1.3800	0.0000	TX491
373531	51.0000	41.0000	1.3500	0.0000	TX491
373533	27.9000	50.0000	1.4000	0.0000	TX491
373535	26.4000	38.2000	1.5400	0.0000	TX491
373536	26.4000	38.2000	1.5400	0.0000	TX491
373538	36.9000	41.8000	1.4200	0.0000	TX491
373539	19.0000	21.4000	1.5800	0.0000	TX491
373548	36.5000	30.0000	1.4000	0.0000	TX491
373552	28.3000	54.1000	1.3900	0.0000	TX491
373556	27.4000	51.1000	1.3500	0.0000	TX491
373557	27.1000	51.8000	1.4000	0.0000	TX491
373560	26.0000	54.1000	1.2700	0.0000	TX491
373567	4.1000	9.0000	1.3800	0.0000	TX491
373569	17.1000	29.5000	1.5400	0.0000	TX491
373570	24.3000	33.8000	1.4900	0.0000	TX491
373571	26.6000	34.7000	1.4600	0.0000	TX491
373575	28.0000	50.0000	1.3300	0.0000	TX491
373576	23.7000	19.3000	1.4000	0.0000	TX491
373577	0.0000	0.0000	0.0000	0.0000	TX491
373578	0.0000	0.0000	0.0000	0.0000	TX491
373580	34.2000	39.7000	1.5300	0.0000	TX491
373581	34.2000	39.7000	1.5300	0.0000	TX491
393274	35.3000	47.9000	1.4500	0.0000	TX021
393275	35.3000	47.9000	1.4500	0.0000	TX021
393279	23.9000	38.1000	1.5400	0.0000	TX021
393280	23.9000	38.1000	1.5400	0.0000	TX021
393281	32.8000	39.8000	1.5500	0.0000	TX021
393282	0.0000	0.0000	0.0000	0.0000	TX021
393283	23.9000	38.1000	1.5400	0.0000	TX021
393284	23.4000	40.2000	1.5400	0.0000	TX021
393288	24.6000	20.2000	1.4700	0.0000	TX021
393289	11.7000	10.8000	1.4600	0.0000	TX021
393291	36.1000	29.2000	1.5300	0.0000	TX021
393292	35.7000	28.2000	1.5400	0.0000	TX021
393293	35.7000	28.2000	1.5400	0.0000	TX021
393294	28.6000	53.6000	1.4700	0.0000	TX021
393295	0.0000	0.0000	0.0000	0.0000	TX021
393296	34.9000	29.0000	1.3800	0.0000	TX021
393297	27.7000	50.7000	1.3200	0.0000	TX021
393298	27.4000	51.1000	1.3500	0.0000	TX021
393299	27.1000	51.8000	1.4000	0.0000	TX021
393300	26.0000	54.1000	1.2700	0.0000	TX021
393301	26.0000	54.1000	1.2700	0.0000	TX021
393302	25.7000	31.3000	1.3900	0.0000	TX021
393306	30.3000	40.2000	1.5500	0.0000	TX021
393307	30.3000	40.2000	1.5500	0.0000	TX021
393308	19.0000	21.4000	1.5800	0.0000	TX021
393311	15.4000	29.4000	1.4900	0.0000	TX021
393312	15.4000	29.4000	1.4900	0.0000	TX021
393314	9.9000	6.8000	1.6000	0.0000	TX021
393318	15.1000	18.5000	1.5400	0.0000	TX021
393320	27.5000	37.0000	1.4900	0.0000	TX021
393321	29.5000	35.1000	1.5100	0.0000	TX021
393323	28.0000	50.0000	1.3300	0.0000	TX021
393324	24.5000	18.3000	1.4000	0.0000	TX021
393326	0.0000	0.0000	0.0000	0.0000	TX021
393327	30.1000	42.9000	1.5400	0.0000	TX021
393328	20.5000	21.7000	1.5800	0.0000	TX021
393329	34.2000	39.7000	1.5300	0.0000	TX021
393330	34.2000	39.7000	1.5300	0.0000	TX021
393399	24.7000	27.6000	1.5600	0.0000	TX021
393400	5.6000	10.7000	1.3900	0.0000	TX021
393704	0.0000	0.0000	0.0000	0.0000	TX051
614452	28.0000	15.1000	1.4000	0.0000	TX287
614468	22.4000	46.5000	1.3300	0.0000	TX287
633818	29.5000	30.6000	1.4100	0.0000	TX287
695218	28.8000	43.8000	1.4100	0.0000	TX287
695220	24.8000	60.1000	1.3600	0.0000	TX287
712126	31.1000	31.1000	1.5000	0.0000	TX287
712134	21.9000	30.2000	1.4500	0.0000	TX287
712136	29.4000	36.1000	1.5700	0.0000	TX287
712348	31.5000	30.3000	1.4300	0.0000	TX287
748058	32.6000	33.7000	1.5200	0.0000	TX287
748059	21.1000	29.7000	1.5000	0.0000	TX287
748065	28.8000	45.9000	1.4900	0.0000	TX287
748067	23.9000	38.1000	1.5400	0.0000	TX287
748068	5.1000	6.2000	1.5700	0.0000	TX287
748070	9.8000	11.0000	1.3900	0.0000	TX287
748071	17.1000	29.5000	1.5400	0.0000	TX287
748072	28.1000	38.4000	1.5100	0.0000	TX287
748073	35.0000	28.4000	1.4000	0.0000	TX287
748077	29.5000	35.1000	1.5100	0.0000	TX287
748080	24.8000	18.2000	1.5000	0.0000	TX287
748082	27.9000	50.0000	1.4700	0.0000	TX287
748084	18.4000	22.9000	1.5100	0.0000	TX287
748085	15.8000	14.8000	1.5500	0.0000	TX287
748086	29.2000	35.1000	1.5600	0.0000	TX287
748089	25.7000	31.3000	1.3900	0.0000	TX287
748090	30.4000	32.2000	1.4600	0.0000	TX287
748091	26.4000	19.7000	1.4100	0.0000	TX287
748092	19.2000	27.6000	1.4900	0.0000	TX287
748095	1.7000	1.0000	1.5400	0.0000	TX287
748097	12.3000	18.0000	1.4900	0.0000	TX287
748098	20.1000	28.9000	1.4500	0.0000	TX287
748099	29.1000	36.3000	1.5600	0.0000	TX287
748102	29.5000	33.7000	1.4400	0.0000	TX287
748104	36.1000	29.2000	1.5300	0.0000	TX287
748106	29.0000	29.3000	1.5500	0.0000	TX287
748108	31.1000	42.5000	1.4800	0.0000	TX287
748120	28.6000	10.9000	1.4400	0.0000	TX287
1400488	0.0000	0.0000	0.0000	0.0000	TX287
1400495	0.0000	0.0000	0.0000	0.0000	TX287
